R25-131-106, curden = 3970963380.517982
R25-131-107, curden = 3854034663.605092
R25-131-108, curden = 3753720035.235234
R25-131-109, curden = 3670552714.253311
R25-131-110, curden = 3605109537.735997
R25-131-111, curden = 3564898560.792062
R25-131-112, curden = 2287882928.295677
R25-131-113, curden = 1561779462.538756
R25-131-114, curden = 1118698265.405618
R25-131-115, curden = 814301156.941643
R25-131-116, curden = 593204019.553543
R25-131-117, curden = 423811965.543701
R25-131-118, curden = 281893913.552268
R25-131-119, curden = 157900601.068197
R25-131-120, curden = 44696359.484011
R25-131-121, curden = -59838447.800310
R25-131-122, curden = -159944366.406288
R25-131-123, curden = -259082285.274159
R25-131-124, curden = -356979907.481270
R25-131-125, curden = -457764901.387253
R25-131-126, curden = -565880040.306636
R25-131-127, curden = -688877628.078039
R25-131-128, curden = -837557151.411111
R25-131-129, curden = -1033217483.472816
R25-131-130, curden = -1310060514.685965
R25-131-131, curden = -1753221326.689655
R25-131-132, curden = 844245963.767760
R25-131-133, curden = -0.000000
R27-100-100, curden = 812152361.171492
R27-100-101, curden = 9908187951.120918
R27-100-102, curden = 0.000000
R27-101-100, curden = 0.000000
R27-101-101, curden = 2338612592.418993
R27-101-102, curden = 1303534189.926545
R27-101-103, curden = 858361437.262634
R27-101-104, curden = 632803134.152795
R27-101-105, curden = 477165956.998789
R27-101-106, curden = 379137424.196365
R27-101-107, curden = 281642724.376517
R27-101-108, curden = 214302175.377494
R27-101-109, curden = 154409179.865134
R27-101-110, curden = 114418314.869970
R27-101-111, curden = 86438669.877861
R27-101-112, curden = 57734019.026147
R27-101-113, curden = 45800989.059548
R27-101-114, curden = 33036443.580884
R27-101-115, curden = 27140069.683117
R27-101-116, curden = 6021421.397177
R27-101-117, curden = -11439711.543640
R27-101-118, curden = -39302673.907410
R27-101-119, curden = -77655223.525397
R27-101-120, curden = -121450935.495499
R27-101-121, curden = -178200104.869458
R27-101-122, curden = -245510163.240729
R27-101-123, curden = -334712090.612320
R27-101-124, curden = -417219075.631584
R27-101-125, curden = -518132943.264108
R27-101-126, curden = -632500763.123221
R27-101-127, curden = -772504460.586840
R27-101-128, curden = -941745261.491637
R27-101-129, curden = -1196655191.461535
R27-101-130, curden = -1507066665.448312
R27-101-131, curden = -1705858414.914019
R27-101-132, curden = 0.067286
R27-120-100, curden = 0.000000
R27-120-101, curden = -8421263713.043642
R27-120-102, curden = -690272013.671075
R27-121-100, curden = 0.000000
R27-121-101, curden = 2383848386.358281
R27-121-102, curden = 1251861661.310340
R27-121-103, curden = 847369191.540504
R27-121-104, curden = 631909511.602287
R27-121-105, curden = 491373647.495316
R27-121-106, curden = 393426399.882706
R27-121-107, curden = 302345713.306316
R27-121-108, curden = 232099869.356368
R27-121-109, curden = 167821451.366623
R27-121-110, curden = 134043896.191015
R27-121-111, curden = 98350151.327982
R27-121-112, curden = 63062320.533675
R27-121-113, curden = 55018321.715812
R27-121-114, curden = 33903326.823172
R27-121-115, curden = 14343364.903453
R27-121-116, curden = -4886303.325514
R27-121-117, curden = -22292524.997965
R27-121-118, curden = -67737629.955425
R27-121-119, curden = -105688252.458963
R27-121-120, curden = -140997044.250771
R27-121-121, curden = -210100639.519768
R27-121-122, curden = -276633222.747251
R27-121-123, curden = -359343534.120309
R27-121-124, curden = -457939516.812392
R27-121-125, curden = -549061601.350702
R27-121-126, curden = -651721511.542487
R27-121-127, curden = -812619614.742617
R27-121-128, curden = -1008529376.823110
R27-121-129, curden = -1313569803.684605
R27-121-130, curden = -1888117622.331520
R27-121-131, curden = -2795507472.877476
R27-121-132, curden = 0.000000
R27-122-100, curden = 0.000000
R27-122-101, curden = 2129414480.049538
R27-122-102, curden = 818506860.175612
R27-122-103, curden = 736938728.511907
R27-122-104, curden = 605539487.859545
R27-122-105, curden = 481786212.868971
R27-122-106, curden = 386645621.198935
R27-122-107, curden = 318128792.689186
R27-122-108, curden = 245514694.228887
R27-122-109, curden = 176553347.312371
R27-122-110, curden = 138731319.646869
R27-122-111, curden = 109158728.853498
R27-122-112, curden = 73020908.971189
R27-122-113, curden = 53328610.970644
R27-122-114, curden = 34012243.626700
R27-122-115, curden = 5841750.785985
R27-122-116, curden = -17600791.147323
R27-122-117, curden = -35857036.674457
R27-122-118, curden = -89289276.705461
R27-122-119, curden = -125028224.557647
R27-122-120, curden = -159143099.985793
R27-122-121, curden = -229711592.115137
R27-122-122, curden = -304594426.827365
R27-122-123, curden = -374786496.908753
R27-122-124, curden = -485117646.692206
R27-122-125, curden = -563106691.953323
R27-122-126, curden = -686088484.641525
R27-122-127, curden = -813854132.912411
R27-122-128, curden = -997148231.392857
R27-122-129, curden = -1313587753.690319
R27-122-130, curden = -2053107848.550573
R27-122-131, curden = -4916487530.581629
R27-122-132, curden = -0.067286
R27-123-100, curden = 0.067286
R27-123-101, curden = 1002528067.240546
R27-123-102, curden = 772532615.172312
R27-123-103, curden = 659856697.802781
R27-123-104, curden = 553671568.126517
R27-123-105, curden = 466590923.791313
R27-123-106, curden = 373256819.014251
R27-123-107, curden = 315176979.801735
R27-123-108, curden = 249535460.342594
R27-123-109, curden = 182087347.864056
R27-123-110, curden = 151628205.122347
R27-123-111, curden = 114135619.743836
R27-123-112, curden = 79071366.285936
R27-123-113, curden = 47363176.599906
R27-123-114, curden = 19798288.681416
R27-123-115, curden = 3135600.716658
R27-123-116, curden = -21903221.996816
R27-123-117, curden = -47465461.461105
R27-123-118, curden = -109795259.373060
R27-123-119, curden = -146070218.033247
R27-123-120, curden = -179827261.422539
R27-123-121, curden = -254966169.655810
R27-123-122, curden = -317757364.753224
R27-123-123, curden = -387966067.155725
R27-123-124, curden = -490487862.983606
R27-123-125, curden = -571683271.528583
R27-123-126, curden = -704490372.701705
R27-123-127, curden = -792966287.265298
R27-123-128, curden = -915505980.598587
R27-123-129, curden = -1077946133.678893
R27-123-130, curden = -1135859840.399988
R27-123-131, curden = -9935100951.103933
R27-123-132, curden = 0.000000
R27-124-100, curden = 0.000000
R27-124-101, curden = 591165164.998326
R27-124-102, curden = 634284669.845228
R27-124-103, curden = 580333703.780544
R27-124-104, curden = 499638637.146333
R27-124-105, curden = 435446022.488121
R27-124-106, curden = 364657500.424029
R27-124-107, curden = 305736401.189268
R27-124-108, curden = 246166799.897641
R27-124-109, curden = 190380967.170622
R27-124-110, curden = 151765952.579393
R27-124-111, curden = 112698640.477522
R27-124-112, curden = 85244501.937234
R27-124-113, curden = 46068659.230577
R27-124-114, curden = 19417320.314298
R27-124-115, curden = -8275886.942000
R27-124-116, curden = -36637880.090248
R27-124-117, curden = -67830720.291169
R27-124-118, curden = -120952310.633063
R27-124-119, curden = -164686288.740317
R27-124-120, curden = -201049954.409645
R27-124-121, curden = -270697216.474379
R27-124-122, curden = -336716415.878813
R27-124-123, curden = -406139366.002989
R27-124-124, curden = -482552953.397605
R27-124-125, curden = -579898400.852755
R27-124-126, curden = -695785924.496559
R27-124-127, curden = -767098882.243655
R27-124-128, curden = -823913685.581236
R27-124-129, curden = -866327253.084986
R27-124-130, curden = -772781938.114257
R27-124-131, curden = -14417446187.898466
R27-124-132, curden = 0.000000
R27-125-100, curden = 0.067286
R27-125-101, curden = 428977082.940024
R27-125-102, curden = 520341191.310411
R27-125-103, curden = 508144818.521136
R27-125-104, curden = 456224929.345964
R27-125-105, curden = 401141422.432327
R27-125-106, curden = 349986396.841834
R27-125-107, curden = 293721402.424761
R27-125-108, curden = 244313106.739927
R27-125-109, curden = 194464071.059427
R27-125-110, curden = 143544034.183171
R27-125-111, curden = 113057763.833119
R27-125-112, curden = 80208436.609311
R27-125-113, curden = 45947488.257790
R27-125-114, curden = 17176351.971425
R27-125-115, curden = -15975156.031662
R27-125-116, curden = -46009792.521187
R27-125-117, curden = -86937266.197248
R27-125-118, curden = -137212828.602666
R27-125-119, curden = -177374869.792990
R27-125-120, curden = -224736729.023860
R27-125-121, curden = -276916430.448829
R27-125-122, curden = -353297510.078444
R27-125-123, curden = -411657091.104358
R27-125-124, curden = -486244639.859649
R27-125-125, curden = -596263935.546386
R27-125-126, curden = -666621051.175278
R27-125-127, curden = -734483848.296557
R27-125-128, curden = -754623213.524972
R27-125-129, curden = -754231185.898657
R27-125-130, curden = -633422319.870015
R27-125-131, curden = -18364581509.123642
R27-125-132, curden = 0.000000
R27-126-100, curden = 0.000000
R27-126-101, curden = 336048420.454768
R27-126-102, curden = 433772929.573977
R27-126-103, curden = 444822901.999378
R27-126-104, curden = 409796421.027751
R27-126-105, curden = 363334877.427172
